id,source,text_preview,entities,predicted_score,predicted_tier,expected_tier
synthetic_00374,corpus,"PROGRESS NOTE

Patient: Jeanette Chandler
DOB: 05/24/1964
MRN: MRN-6337250
SSN: ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00806,corpus,"PROGRESS NOTE

Patient: Jennifer Rice
DOB: 08/07/2006
MRN: MRN-8564314
SSN: 191-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
3a9910a3,claude_adversarial,"HR system update for Christopher James Anderson, SSN 012345678.","{""full_name"": 1, ""ssn"": 1}",12.6,Low,
9d541b22,negative_brand_names,Betty Crocker reported mixed results.,{},0.0,Minimal,
synthetic_00789,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Brian ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
b4188556,template,"Account holder: Kimberly D. Gonzalez
Account: 708730021027
SSN: 209496162
Addres","{""full_name"": 1, ""bank_account"": 1, ""ssn"": 1, ""physical_address"": 1}",51.5,Medium,
f2140b95,claude,"Password reset request for Sarah Chen. Social Security Number: 234 56 7890, Born","{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
97de070b,template,"SSN: 439.64.1513
DOB: 2003-03-05","{""ssn"": 1, ""date_of_birth"": 1}",13.5,Low,
9cf5224f,claude_adversarial,"Patient Registration Form: sMITH, sARAH j. DOB: 09/22/1973 SSN: 456-78-9012","{""full_name"": 1, ""date_of_birth"": 1, ""ssn"": 1}",18.0,Low,
8a2458b4,template_adversarial,"Patient: Кιng, Joanna
DOB: і2/21/I960
SSN: 366 33 94l9
Phone: (2O6) 44і-1197

Pl","{""full_name"": 1, ""date_of_birth"": 1, ""ssn"": 1, ""phone"": 1}",21.6,Low,
synthetic_00779,corpus,"REFERRAL LETTER

Date: 12/08/2025

To: Dr. Dawn Hawkins
Martinezmouth Specialty ","{""full_name"": 1, ""date_of_birth"": 1, ""phone"": 1}",13.5,Low,
9cb074e8,template,"Account holder: Brian Gonzalez
Account: 7232466513
SSN: 867.53.4374
Address: 249","{""full_name"": 1, ""bank_account"": 1, ""ssn"": 1, ""physical_address"": 1}",51.5,Medium,
f78386c9,claude,"Financial Services Analysis

Business IBAN: DE89370400440532013000
Secondary Acc","{""bank_account"": 2, ""credit_card"": 1}",18.8,Low,
synthetic_00518,corpus,"PROGRESS NOTE

Patient: Edward Johnson
DOB: 12/23/1981
MRN: MRN-8070308
SSN: 081","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
dfdf4c4a,claude,"I'll ship it to 123 Pine Lane, Boston, MA 02108. Reach me at 617.456.7890 or tom","{""physical_address"": 1, ""phone"": 1, ""email"": 1}",11.7,Low,
c657ee51,claude,"Contract details for property at 5544 Birch Road, Denver, CO 80202. Contact repr","{""physical_address"": 1, ""phone"": 1}",8.1,Minimal,
synthetic_00525,corpus,"CONSULTATION NOTE

Date: 12/05/2025
Consultant: Dr. Jessica Crane
Referring Phys","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00306,corpus,"PROGRESS NOTE

Patient: Teresa Matthews
DOB: 08/25/1971
MRN: MRN-8700011
SSN: 28","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
545b7125,claude,"Just met Davis, Christopher with SSN 567 89 0123 born on 11/18/1979.","{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
synthetic_00729,corpus,"CONSULTATION NOTE

Date: 12/16/2025
Consultant: Dr. Joshua Ellis
Referring Physi","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
d9dac856,claude,Payroll needs my identification details: SSN 234567890 and date of birth 1990-05,"{""ssn"": 1, ""date_of_birth"": 1}",13.5,Low,
synthetic_00800,corpus,"PROGRESS NOTE

Patient: Jeffrey Vaughn
DOB: 12/01/1952
MRN: MRN-7118266
SSN: 714","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00445,corpus,"PROGRESS NOTE

Patient: Michelle Richard
DOB: 11/27/2005
MRN: MRN-2873547
SSN: 8","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00145,corpus,"PROGRESS NOTE

Patient: Juan Smith
DOB: 04/25/1953
MRN: MRN-8433377
SSN: 850-29-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
cf80e94d,claude,Professional credentials file contains license number 456789 for current employm,"{""drivers_license"": 1}",6.3,Minimal,
synthetic_00332,corpus,"PROGRESS NOTE

Patient: Megan Davis DDS
DOB: 09/11/1994
MRN: MRN-7410589
SSN: 28","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00833,corpus,"PROGRESS NOTE

Patient: Crystal Wright
DOB: 06/17/1954
MRN: MRN-8127058
SSN: 607","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00085,corpus,"CONSULTATION NOTE

Date: 12/15/2025
Consultant: Dr. Brandon Spencer
Referring Ph","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00480,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Andrea","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
764d1207,claude,can you check the MAC 00-11-22-33-44-55 on this server?,{},0.0,Minimal,
1ede184a,claude,Identification verification for passport A5432109 and license CA2345678.,"{""passport"": 1, ""drivers_license"": 1}",14.4,Low,
0f19ad46,claude_adversarial,Risk assessment for account 56781234 indicates potential fraud with card 4532.01,"{""bank_account"": 1, ""credit_card"": 1}",14.4,Low,
synthetic_00483,corpus,"CONSULTATION NOTE

Date: 12/02/2025
Consultant: Dr. Brian Massey
Referring Physi","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00791,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Lori H","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
synthetic_00367,corpus,"PROGRESS NOTE

Patient: Benjamin Price
DOB: 09/17/1968
MRN: MRN-2568722
SSN: 358","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00919,corpus,"PROGRESS NOTE

Patient: George Rivera
DOB: 12/19/1964
MRN: MRN-8270280
SSN: 678-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00437,corpus,"CONSULTATION NOTE

Date: 12/18/2025
Consultant: Dr. Terri Parker
Referring Physi","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00071,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Alexan","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
synthetic_00033,corpus,"CONSULTATION NOTE

Date: 12/09/2025
Consultant: Dr. Cynthia Durham
Referring Phy","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
58de0720,claude,Mobile Contact: (444) 555-6666,"{""phone"": 1}",3.6,Minimal,
30034dc7,claude,Accounting requires bank details: IBAN DE89370400440532013000 for record keeping,"{""bank_account"": 1}",6.3,Minimal,
4104292f,claude,College Financial Aid Application: Applicant SSN 012 34 5678,"{""ssn"": 1}",8.1,Minimal,
synthetic_00061,corpus,"CONSULTATION NOTE

Date: 12/05/2025
Consultant: Dr. Todd Jacobson
Referring Phys","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
8c7934c6,claude,"Here's the delivery info: 789 Pine Rd Suite 200, Atlanta, GA 30303.","{""physical_address"": 1}",4.5,Minimal,
synthetic_00748,corpus,"PROGRESS NOTE

Patient: Stephen Johnson
DOB: 01/21/1964
MRN: MRN-8695389
SSN: 04","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00658,corpus,"CONSULTATION NOTE

Date: 12/12/2025
Consultant: Dr. Ariel Riley
Referring Physic","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
202ad304,claude,"Check out the property listing at 742 Evergreen Terrace, Springfield, IL 62701. ","{""physical_address"": 1, ""email"": 1}",8.1,Minimal,
synthetic_00826,corpus,"PROGRESS NOTE

Patient: Matthew Flores
DOB: 06/24/1955
MRN: MRN-2860547
SSN: 702","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
c58783d3,claude,Please verify IBAN FR7630006000011234567890189 for account 123456789012 using cr,"{""bank_account"": 2, ""credit_card"": 1}",18.8,Low,
synthetic_00206,corpus,"PROGRESS NOTE

Patient: Daniel Thompson
DOB: 02/12/1945
MRN: MRN-7452434
SSN: 86","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00212,corpus,"CONSULTATION NOTE

Date: 12/09/2025
Consultant: Dr. Dennis Weiss
Referring Physi","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00598,corpus,"PROGRESS NOTE

Patient: Billy Miller
DOB: 09/20/1989
MRN: MRN-9470588
SSN: 509-9","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
9eab7967,claude,"michael andrew wilson was born 1991-02-14, ssn 456-78-9012","{""full_name"": 1, ""date_of_birth"": 1, ""ssn"": 1}",18.0,Low,
7086f7eb,claude,"Immigration Record: US Passport 298647512 belonging to Maria Rodriguez, license ","{""passport"": 1, ""drivers_license"": 1}",14.4,Low,
10c55fcd,claude,Verify system health at https://status.infrastructure.com while checking 216.58.,"{""ip_address"": 1}",2.7,Minimal,
synthetic_00364,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Patric","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
synthetic_00075,corpus,"CONSULTATION NOTE

Date: 12/13/2025
Consultant: Dr. Shaun Cannon
Referring Physi","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
e02584fd,ai4privacy_adversarial,"Hi, we are excited for Margot's first appointment at Suite 850, 36183-8380. Plea","{""full_name"": 1, ""bank_account"": 1, ""ssn"": 1}",41.6,Medium,
synthetic_00689,corpus,"PROGRESS NOTE

Patient: David Potter
DOB: 10/08/1939
MRN: MRN-1163120
SSN: 403-3","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00927,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Donald","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
d69ad42b,claude_adversarial,"Medical History: Mic​hael Robert Thompson, born March 15​, 1975, SSN 678 90 2​34","{""full_name"": 1, ""date_of_birth"": 1, ""ssn"": 1}",18.0,Low,
synthetic_00780,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Adam F","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
5a5ca3b7,claude_adversarial,Please check the latest software updates at ht​tps://downloads.techsupport.com/l,{},0.0,Minimal,
008b3bab,claude,"Credit Card Application
Applicant: Jason Lee
Contact Phone: 888.222.3456
Email A","{""phone"": 1, ""email"": 1, ""physical_address"": 1}",11.7,Low,
642b93c2,ai4privacy,"Mother Mckenna Parker Runolfsdottir (DOB: September 9, 1961, SSN: 723 62 3462) i","{""full_name"": 5, ""date_of_birth"": 1, ""ssn"": 1, ""physical_address"": 1, ""bank_account"": 1}",79.3,High,
synthetic_00506,corpus,"PROGRESS NOTE

Patient: Brooke Tran
DOB: 03/31/1969
MRN: MRN-5718333
SSN: 707-32","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00199,corpus,"PROGRESS NOTE

Patient: Patricia Lambert
DOB: 11/14/1954
MRN: MRN-3642344
SSN: 2","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00969,corpus,"PROGRESS NOTE

Patient: Mark Brown
DOB: 12/28/1971
MRN: MRN-1606142
SSN: 506-36-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
ccfd70fc,claude,can you ping 8.8.8.8 and see if it responds?,"{""ip_address"": 1}",2.7,Minimal,
d7559307,claude,"Can you send the invoice to 345 Commerce Way, Unit 202, San Francisco, CA 94105?","{""physical_address"": 1, ""email"": 1, ""phone"": 1}",11.7,Low,
3599010a,claude,Financial transfer request: use IBAN GB29NWBK60161331926819 and credit card 4532,"{""bank_account"": 1, ""credit_card"": 1}",14.4,Low,
42de2ddf,negative_near_miss,Room 927-5571,{},0.0,Minimal,
synthetic_00433,corpus,"CONSULTATION NOTE

Date: 12/16/2025
Consultant: Dr. Sarah Moses
Referring Physic","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00581,corpus,"PROGRESS NOTE

Patient: Steven Hall
DOB: 03/23/1998
MRN: MRN-4438647
SSN: 479-53","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00461,corpus,"PROGRESS NOTE

Patient: David Stevenson
DOB: 04/25/1985
MRN: MRN-5111878
SSN: 23","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
fe16d6c9,claude,Kevin Robert Zhang's form needs review. His SSN is 012 34 5678.,"{""full_name"": 1, ""ssn"": 1}",12.6,Low,
